Star,2001,,"Action, Short, Comedy",Guy Ritchie,"Guy Ritchie, Joe Sweet","Clive Owen, Michael Beattie, Toru Tanaka Jr., DTeflon",English,USA,1 win.,7.7
Super Kudumbam,2001,,Drama,Kalaimani,N/A,"Alex, Vinu Chakravarthy, Prabhu Ganesan, Parimala",Tamil,India,N/A,N/A
Kanna Unnai Thedukiren,2001,,N/A,P.S. Raj,P.S. Raj (Tamil Version),"Ponvannan, Ranjith, Sathyan, Suvalakshmi",Tamil,India,N/A,N/A
Kutty,2001,,Drama,Janaki Vishwanathan,N/A,"Ramesh Aravind, M.N. Rajam, R.S. Shivaji, Baby P. Shwetha",Tamil,India,1 win.,6.1
Chocklet,2001,,Drama,A. Venkatesh,R. Madhesh,"Prashanth, JayaRe, Mumtaj, Suhasini",Tamil,India,N/A,5
Alli Thandha Vaanam,2001,,Drama,Vijie,Vijie,"Laila, Neha, Prabhudheva, Prakash Raj",Tamil,India,N/A,5
Veettoda Mappillai,2001,,N/A,V. Sekhar,N/A,"Napoleon, Vaiyapuri, Vijayakumar",Tamil,India,N/A,N/A
Pandavar Bhoomi,2001,,N/A,Cheran,Cheran,"Arun Vijay, Shamitha, Raj Kiran, Ranjith",Tamil,India,2 wins.,7.2
Kabadi Kabadi,2001,,Comedy,Pandiarajan,Bhagyaraj,"Karan, Manivannan, Pandiarajan, Sangeetha",Tamil,India,N/A,N/A
Mitta Miraasu,2001,,N/A,M. Kalanjiyam,M. Kalanjiyam,"Alex, Manivannan, Mumtaj, Napolean",Tamil,India,N/A,N/A
Aalavandhan,2001,,"Action, Thriller",Suresh Krishna,Kamal Haasan (novel),"Kamal Haasan, Raveena Tandon, Manisha Koirala, Shri Vallabh Vyas",Tamil,India,1 win & 1 nomination.,7.2
Aandan Adimai,2001,,Drama,Manivannan,Manivannan,"Sathyaraj, Suvalakshmi, Divyaa Unni",Tamil,India,N/A,N/A
Kasi,2001,,Drama,Vinayan,"G. Krishna, Vinayan","Vikram, Kavya Madhavan, Kaveri, Manivannan",Tamil,India,2 wins & 3 nominations.,7.1
Manadhai Thirudivittai,2001,,Romance,R.D. Narayanamurthy,R.D. Narayanamurthy,"Fathima Babu, Gayatri Jayaraman, Kousalya, Prabhudheva",Tamil,India,N/A,5
Nandha,2001,,"Action, Drama",Bala,Bala,"Suriya, Laila, Raj Kiran, Rajashri","Tamil, Hindi",India,3 wins & 1 nomination.,7.6
Paarthale Paravasam,2001,,Comedy,K. Balachander,Gopu-Babu (dialogue),"Madhavan, Simran, Sneha, Vivek",Tamil,India,N/A,5.7
Shahjahan,2001,,Romance,K.S. Ravi,"Prasanna Kumar (dialogue), K.S. Ravi (story & screenplay)","Joseph Vijay, Chaplin Babu, Balaji, Banu Balasubramaniam",Tamil,India,N/A,7
Thavasi,2001,,"Action, Comedy, Drama",Udayshankar,"Palani Bharathi (lyrics), Cinni Krishna (story), Udayshankar (screenplay & dialogue)","Vijayakanth, Soundarya, Vadivelu, Pratyuksha","Tamil, Hindi",India,2 wins.,4.5
Azhagana Naatkal,2001,,Drama,Sundar C.,N/A,"Sabitha Anand, Madhan Bob, Thalapathi Dinesh, Delhi Ganesh",Tamil,India,N/A,3
Kottai Mariamman,2001,,Drama,Ramanarayanan,Pugazhmani,"Devayani, Karan, Rami Reddy, Roja",Tamil,India,N/A,N/A
Majunu,2001,,Romance,Ravichandran,"Ravichandran (story), Ravichandran","Prashanth, Rinke Khanna, Rati Agnihotri, Raghuvaran","Tamil, Hindi",India,N/A,5.2
Pugaippadam,2010,,Drama,Rajesh Lingam,Rajesh Lingam,"Priya Anand, Yamini, Mrinalini, Nandha",Tamil,India,N/A,4.3
Thunichal,2010,,Action,A. Majid,A. Majid,"Gangai Amaran, Shiva Manjal, Ramana, Swathika",Tamil,India,N/A,N/A
Kutty,2010,,Romance,Mithran Jawahar,Sukumar,"Vincent Ashokan, Sammir Dattani, Dhanush, Rajyalakshmi",Tamil,India,N/A,5
Naanayam,2010,,"Mystery, Thriller",Shakthi S. Rajan,Shakthi S. Rajan,"Prasanna, Sibiraj, Ramya Raj, Yasmin",Tamil,India,N/A,7.1
Porkkalam,2010,,Action,Bandi Saroj Kumar,Bandi Saroj Kumar,"Tinnu Anand, Joe Anthony, Atheesh, Santhana Bharathi",Tamil,India,N/A,7.7
Goa,2010,,Comedy,Venkat Prabhu,Venkat Prabhu,"Jai, Melanie Marie, Piaa Bajpai, Premgi Amaren",Tamil,India,N/A,6.7
Jaggubhai,2010,,Action,K.S. Ravikumar,"Kamalesh Kumar, K.S. Ravikumar","Hamid Ansari, Goundamani, Sarath Kumar, J. Mahendran",Tamil,India,N/A,3.9
Thairiyam,2010,,N/A,P. Kumaran,N/A,"Deepu, Karthika, Riyaz Khan, P. Kumaran",Tamil,India,N/A,N/A
Thamizh Padam,2010,,Comedy,C.S. Amudhan,C.S. Amudhan,"Shiva, Disha Pandey, Venniradai Moorthy, Manobala","Tamil, Telugu",India,N/A,7.3
Theeradha Vilaiyattu Pillai,2010,,Romance,Thiru,Thiru,"Vishal, Sarah-Jane Dias, Neetu Chandra, Tanushree Dutta",Tamil,India,N/A,5.5
Rasikkum Seemane,2010,,Thriller,R.K. Vidhyadaran,N/A,"Aravind Akash, Dhamu, Mayilsamy, Navya Nair",Tamil,India,N/A,N/A
Vinnaithaandi Varuvaayaa,2010,,"Drama, Romance",Gautham Menon,Gautham Menon,"T.R. Silambarasan, Trisha Krishnan, Vtv Ganesh, Raja Krishnamoorthy",Tamil,India,5 wins & 5 nominations.,8
Thambikku Indha Ooru,2010,,N/A,N/A,N/A,"Sana Khaan, Haydon Roy, R.S. Shivaji, Bharath Srinivasan",Tamil,India,N/A,1.8
Veerasekaran,2010,,N/A,Sathish Kumar,N/A,"Aarthi, M.S. Bhaskar, Amala Paul, Pratap K. Pothen",Tamil,India,N/A,N/A
Azhagaana Ponnuthan,2010,,Romance,Thiru,N/A,"Abhishek, Balu Anand, Shyam Ganesh, Kartheesh",Tamil,India,N/A,N/A
Maathi Yosi,2010,,Drama,Nanda Periyasamy,Nanda Periyasamy,"Alex, Gopal, Harish, G.M. Kumar",Tamil,India,N/A,6.3
Yathumaagi,2010,,Romance,S. Balakumar,N/A,"Aniruthan, Riyaz Khan, Sachin, Sunaina",Tamil,India,N/A,N/A
Kacheri Arambam,2010,,"Action, Comedy, Drama",Thiraivannan,N/A,"Jiiva, Poonam Bajwa, Vadivelu, J.D. Chakravarthi",Tamil,India,N/A,4.6
Mundhinam Paartheney,2010,,"Comedy, Romance",Magizh Thirumeni,Magizh Thirumeni,"Ekta Khosla, Lizna, Pooja, Sai Prashanth",Tamil,India,N/A,N/A
Paiyaa,2010,,"Action, Drama, Romance",N. Linguswamy,"N. Linguswamy, Brindha Sarathy (dialogue)","Karthi, Tamannaah Bhatia, Milind Soman, Jagan",Tamil,India,5 nominations.,6.3
Sivappu Mazhai,2010,,Action,V. Krishnamurthy,"John E, V. Krishnamurthy, V. Prabhakar","Bagla, Meera Jasmine, Suresh Joachim, Sruthi Ramakrishnan",Tamil,India,N/A,N/A
Rettaisuzhi,2010,,Drama,Thamira,"Thamira, Nallaan Thamizh","Krithiga Manohar, Aari, Anjali, K. Balachander",Tamil,India,N/A,4.7
Sura,2010,,Action,S.P. Rajkumar,S.P. Rajkumar (screenplay),"Joseph Vijay, Tamannaah Bhatia, Vadivelu, Dev Gill",Tamil,India,N/A,2.7
Goripalayam,2010,,Drama,Rasu Madhuravan,Rasu Madhuravan,"Jagarthi Agarwal, Alex, Harish, Ilavarasu",Tamil,India,N/A,N/A
Guru Sishyan,2010,,Romance,Sakthi Chidambaram,N/A,"Amarasigamani, Shruthi Prakash, Sathyaraj, Ithayan Selvakumaran",Hindi,India,N/A,2.9
