Irandu Manam Vendum,
Naalai Mudhal Kudikka Matten,
Visaranai,
Vennilavin Arangetram,
Miruthan,
Aarathu Sinam,
Pakki Payaluga,
Enna Pidichirukka,
Kathiravanin Kodai Mazhai,
Endru Thaniyum,
Anbudan Anbarasi,
Thozha,
Uyire Uyire,
Avan Aval,
Mudhal Thagaval Arikkai,
Nijama Nizhala,
Yokkiyan Varan Somba Thooki Ulla Vai,
Maasi Veedhi,
Guhan,
Kanden Kadhal Konden,
Edaal,
Inaiya Thalaimurai,
Jumbulingam 3D,
Kodeeswaran,
Jeniffer Karuppaiya,
Sutta Pazham Sudaatha Pazham,
Kallathoni,
Pandiyoda Galatta Thaangala,
Muthina Kathirikai,
Oru Melliya Kodu,
Arthanari,
Kizhakku Chandu,
Kodambakkam Kokila,
Megamoottam,
Onbathilirindhu Pathu Varai,
Summave Aaduvom,
Vellikizhamai 13 am Thethi,
Sandikuthirai,
Ennama Kadha Vudranunga,
Mudinja Ivana Pudi,
Yaanai Mel Kuthirai Sawaari,
Andha Kuyil Needhana,
Vendru Varuvaan,
Thagadu,
Sadhuram 2,
Thodari,
Aasi,
Kanaga Durga,
Kollidam,
Thirumaal Perumai,
Kagitha Kappal,
Nee Enbathu,
Nenjukkulla Nee Neranjirukka,
Thiraikku Vaaradha Kadhai,
Ini Avanea,
Anjukku Onnu,
Pattathaari,
Virumandikum Sivanandikum,
Azhahendra Sollukku Amudha,
Andaman,
Ner Mugam,
Adhiran,
Kandadhai Sollugiren,
Thalaiyatti Bommai,
Peiyena Peiyum Kurudhi,2017
Si3,
Pragamiyam,
Kadhal Kan Kattuthe,
Kanavu Variyam,
1 A.M,
Sevili,
Pa Paandi,
Shivalinga,
Baahubali: The Conclusion,
Aarambamae Attakasam,
Thirappu Vizha,
Neethan Raja,
Peechankai,
Kaadhal Kaalam,
(88)Enbathettu,
Yentha Nerathilum,
Puyala Kelambi Varom,
Thappillama Oru Thappu,
Aakkam,
Ullam Ullavarai,
Adra Raja Adida,
Puriyaadha Pudhir,
Gilli Bambaram Goli,
Maaya Mohini,
Neruppu Da,
Thappu Thanda,
Yaar Ivan,
Ka Ka Ka: Aabathin Arikuri,
Valla Desam,
Aval,
143,
Rukku,
Mecheri Vana Bhadrakali,
Soora Kaathu,
English Padam,
Yaazh,
Kodi Veeran,
Aruvi,
Kida Virundhu,
Kalavaadiya Pozhuthugal,
Punnagai Desam,2002
Vivaramana Aalu,
Angala Parameswari,
Mangalyam,
Amaiyappan,
Shakalaka Baby,
Kannathil Muthamittal,
Saptham,
Sri Bannari Amman,
Varushamellam Vasantham,
Pesadha Kannum Pesume,
Nettru Varai Nee Yaaro Naan Yaaro,
Enge Enadhu Kavithai,
Thenkasi Pattanam,
Yai! Nee Romba Azhaga Irukke!,
Karmegham,
Plus 2,
Naina,
Arputham,
Nilai Kannadi,
Maaran,
Namma Veetu Kalyanam,
Samasthanam,
Jjunction,
Andipatti Arasampatti,
Padai Veetu Amman,
Ramanaa,
Solla Marandha Kadhai,
Gummalam,
I Love You Da,
Jaya,
Virumbugiren,
Iravu Padagan,
Kalai Kalluri,
Nanba Nanba,
Annai Kaligambal,2003
Kalatpadai,
Ramachandra,
Pop Corn,
Julie Ganapathi,
Kadhaludan,
Student Number 1,
Yes Madam,
Manasellam,
Nilavil Kalangamillai,
Pavalakkodi,
Ennai Thalatta Varuvala,
Magic Magic 3D,
Kadhal Sadugudu,
Well Done,
Indru Mudhal,
Lesa Lesa,
Parasuram,
Kaadhal Kondein,
Priyamaana Thozhi,
Aahaa Ethanai Azhagu,
Kadhal Kisu Kisu,
Thayumanavan,
Ilasu Pudhusu Ravusu,
Idhayamae,
Vikadan,
Eera Nilam,
Thennavan,
Unnai Charanadaindhen,
Dhivya Teacher,
Bheeshmar,
Kaiyodu Kai,
Ragasiyamai,
