id,shortForm,staff,subjectName,url,year
577,STAT,Dr.K.V.Vijayashree,Applied Statistics,https://drive.google.com/open?id=1pnwaqcFSqkHI11ul6FvJ8R6BcLLCWHKP,2015
579,STAT,Dr.K.V.Vijayashree,Applied Statistics,https://drive.google.com/open?id=1ikQQxPMJ5tZzVqUS-kV2SSFmm7XRNV1h,2015
580,CN,V.Kanakasabapathi,Computer Networks,https://drive.google.com/open?id=12A99NtcGFXx8-1KT3IrA0gFmBxHkYfEu,2015
581,CN,V.Kanakasabapathi,Computer Networks,https://drive.google.com/open?id=1a29q3MoRigwVySkA1Dkn-aYEQINILHeZ,2015
590,DMW,Dr. Aneetha,Data Mining and warehousing,https://drive.google.com/open?id=1r-u9ibAkOcQvBNQ7q2Pr42tRQZz6xcpg,2015
591,DMW,Dr. Aneetha,Data Mining and warehousing,https://drive.google.com/open?id=19WSGMJncC2-Hp35xT5wu2nm6QGJA2t6_,2015
592,eCom,G.Sumathi,eCommerce,https://drive.google.com/open?id=1qzxJICuCP4uoy5sVfo5k_klmmb_GHTAi,2015
593,eCom,G.Sumathi,eCommerce,https://drive.google.com/open?id=1gHoJYhTO6JxS_4J6IbHQmBzbFx4uTkmx,2015
594,eCom,G.Sumathi,eCommerce,https://drive.google.com/open?id=1EYMeWRuvxOSi0EizfGTNB2YvJ6YTW0Oj,2015
599,OOAD,Dr. Tamilvanan,Object Oriented Analysis and Design,https://drive.google.com/open?id=1WwM6ZKpJAEob0_XWTIEbszokKANrIagI,2015
600,OOAD,Dr. Tamilvanan,Object Oriented Analysis and Design,https://drive.google.com/open?id=1rUHmkun6V20h4VDSNWIhGT-OptJbVOcs,2015
601,EVS,-,Environmental Science and Engineering,https://drive.google.com/open?id=1ccQ3oFT5GPiOEjzRboWHt3zAYfTp9kfX,2015
602,EVS,-,Environmental Science and Engineering,https://drive.google.com/open?id=1z3IDb_jcyKtcjIkz8AQNpIE8-ps9pUX-,2015
603,NP,Mr. KSB,Network Programming,https://drive.google.com/open?id=1bThxcM67gxVK-Xdz6-AUJll1mWFpqxQv,2015
604,NP,Mr. KSB,Network Programming,https://drive.google.com/open?id=1hJAMVw9L2gwekVKa8GoylqWhVHOD-fnX,2015
605,NP,Mr. KSB,Network Programming,https://drive.google.com/open?id=1O68TnWXFO9VAryoKQiMlWC9jEGqcXKVz,2015
606,Info Sec,G.Sumathi,Information Security,https://drive.google.com/open?id=1_5qG4tRt-kHtwY2ZqqElCM9Els2i_9HP,2015
609,NM,Dr. ChandraSekar,Numerical Method,https://drive.google.com/open?id=16-mZYhEHohqGyv4mQQ3CSTrt7ebmguWd,2015
